												SUCCESSFUL

_replace_verse

----------------------------------------Reference not found. Skipping...(1, 6, range(9, 11))-Guajajara
Reference not found. Skipping...(1, 6, range(9, 11))-Guarani
Reference not found. Skipping...(1, 6, range(9, 11))-NVI



Reference not found. Skipping...(1, 6, range(19, 21))-Guajajara
Reference not found. Skipping...(1, 6, range(19, 21))-Guarani
Reference not found. Skipping...(1, 6, range(19, 21))-NVI



Reference not found. Skipping...(1, 20, range(17, 19))-Guajajara
Reference not found. Skipping...(1, 20, range(17, 19))-Guarani
Reference not found. Skipping...(1, 20, range(17, 19))-NVI



Reference not found. Skipping...(1, 24, range(29, 31))-Guajajara
Reference not found. Skipping...(1, 24, range(29, 31))-Guarani
Reference not found. Skipping...(1, 24, range(29, 31))-NVI



Reference not found. Skipping...(1, 31, range(17, 19))-Guajajara
Reference not found. Skipping...(1, 31, range(17, 19))-Guarani
Reference not found. Skipping...(1, 31, range(17, 19))-NVI



Reference not found. Skipping...(1, 36, range(10, 14))-Guajajara
Reference not found. Skipping...(1, 36, range(10, 14))-Guarani
Reference not found. Skipping...(1, 36, range(10, 14))-NVI



Reference not found. Skipping...(1, 36, range(20, 22))-Guajajara
Reference not found. Skipping...(1, 36, range(20, 22))-Guarani
Reference not found. Skipping...(1, 36, range(20, 22))-NVI



Reference not found. Skipping...(1, 36, range(25, 27))-Guajajara
Reference not found. Skipping...(1, 36, range(25, 27))-Guarani
Reference not found. Skipping...(1, 36, range(25, 27))-NVI



Reference not found. Skipping...(1, 36, range(29, 31))-Guajajara
Reference not found. Skipping...(1, 36, range(29, 31))-Guarani
Reference not found. Skipping...(1, 36, range(29, 31))-NVI



Reference not found. Skipping...(1, 36, range(31, 40))-Guajajara
Reference not found. Skipping...(1, 36, range(31, 40))-Guarani
Reference not found. Skipping...(1, 36, range(31, 40))-NVI



Reference not found. Skipping...(1, 36, range(40, 44))-Guajajara
Reference not found. Skipping...(1, 36, range(40, 44))-Guarani
Reference not found. Skipping...(1, 36, range(40, 44))-NVI



Reference not found. Skipping...(1, 40, range(21, 23))-Guajajara
Reference not found. Skipping...(1, 40, range(21, 23))-Guarani
Reference not found. Skipping...(1, 40, range(21, 23))-NVI



